backbone,method,dataset,client_setting,client_average_acc
ViT-Tiny,regmean,Ultrasound,Avg,0.1340
ViT-Tiny,fisher,Blood,K=3,0.1166
ViT-Tiny,fisher,Blood,K=5,0.1512
ViT-Tiny,fisher,Blood,K=7,0.1944
ViT-Tiny,fisher,Blood,Avg,0.1541
ViT-Tiny,fisher,Derma,K=3,0.4780
ViT-Tiny,fisher,Derma,K=5,0.2042
ViT-Tiny,fisher,Derma,K=7,0.4820
ViT-Tiny,fisher,Derma,Avg,0.3881
ViT-Tiny,fisher,Organ-C,K=3,0.0799
ViT-Tiny,fisher,Organ-C,K=5,0.1072
ViT-Tiny,fisher,Organ-C,K=7,0.1424
ViT-Tiny,fisher,Organ-C,Avg,0.1098
ViT-Tiny,fisher,Organ-S,K=3,0.0856
ViT-Tiny,fisher,Organ-S,K=5,0.1218
ViT-Tiny,fisher,Organ-S,K=7,0.1222
ViT-Tiny,fisher,Organ-S,Avg,0.1099
ViT-Tiny,fisher,Ultrasound,K=3,0.1611
ViT-Tiny,fisher,Ultrasound,K=5,0.1315
