task_type,dataset,model,clip_model,num_clients,beta,seed,merged_method,comparison_baseline,merged_accuracy,baseline_accuracy,gap_accuracy,merged_balanced_accuracy,baseline_balanced_accuracy,gap_balanced_accuracy,merged_macro_f1,baseline_macro_f1,gap_macro_f1
small,dermamnist_224,resnet,,3,0.01,42,fisher,oracle_any_correct,0.6668329177057356,0.8428927680798005,-0.1760598503740649,0.17425127109352548,0.6608895849551472,-0.4866383138616217,0.17075211279108674,0.5663653840784612,-0.39561327128737445
small,dermamnist_224,resnet,,3,0.01,42,fisher,oracle_min_loss,0.6668329177057356,0.8428927680798005,-0.1760598503740649,0.17425127109352548,0.6608895849551472,-0.4866383138616217,0.17075211279108674,0.5663653840784612,-0.39561327128737445
small,dermamnist_224,resnet,,3,0.01,42,regmean,best_single_client,0.4773067331670823,0.6812967581047381,-0.20399002493765583,0.18454777884308088,0.3110735082500877,-0.12652572940700685,0.14832553379478744,0.25200544996306157,-0.10367991616827413
small,dermamnist_224,resnet,,3,0.01,42,regmean,prob_ensemble,0.4773067331670823,0.4768079800498753,0.0004987531172069848,0.18454777884308088,0.2490506281488047,-0.06450284930572381,0.14832553379478744,0.2097620787237444,-0.06143654492895695
small,dermamnist_224,resnet,,3,0.01,42,regmean,logit_ensemble,0.4773067331670823,0.2977556109725686,0.1795511221945137,0.18454777884308088,0.2243215408188291,-0.03977376197574822,0.14832553379478744,0.16363851455446035,-0.015312980759672912
small,dermamnist_224,resnet,,3,0.01,42,regmean,oracle_any_correct,0.4773067331670823,0.8428927680798005,-0.36558603491271824,0.18454777884308088,0.6608895849551472,-0.4763418061120663,0.14832553379478744,0.5663653840784612,-0.41803985028367374
small,dermamnist_224,resnet,,3,0.01,42,regmean,oracle_min_loss,0.4773067331670823,0.8428927680798005,-0.36558603491271824,0.18454777884308088,0.6608895849551472,-0.4763418061120663,0.14832553379478744,0.5663653840784612,-0.41803985028367374
small,dermamnist_224,resnet,,3,0.01,42,from,best_single_client,0.6703241895261846,0.6812967581047381,-0.010972568578553554,0.14935064935064934,0.3110735082500877,-0.16172285889943838,0.12612917185048952,0.25200544996306157,-0.12587627811257204
small,dermamnist_224,resnet,,3,0.01,42,from,prob_ensemble,0.6703241895261846,0.4768079800498753,0.19351620947630926,0.14935064935064934,0.2490506281488047,-0.09969997879815534,0.12612917185048952,0.2097620787237444,-0.08363290687325486
small,dermamnist_224,resnet,,3,0.01,42,from,logit_ensemble,0.6703241895261846,0.2977556109725686,0.37256857855361597,0.14935064935064934,0.2243215408188291,-0.07497089146817976,0.12612917185048952,0.16363851455446035,-0.03750934270397083
small,dermamnist_224,resnet,,3,0.01,42,from,oracle_any_correct,0.6703241895261846,0.8428927680798005,-0.17256857855361596,0.14935064935064934,0.6608895849551472,-0.5115389356044978,0.12612917185048952,0.5663653840784612,-0.4402362122279716
